"Plot","Age (years)","Stocking (stem/ha)","BA (m2/ha)","DBH (cm)","Stem Vol. (m3/ha)","Harvest vol. (m3/ha)","MTH (m)","Mean height (m)","Wood dens. (kg/m3)","Crown height (m)"
"Rapo75",10,1099,45.8722257726426,23.0510260842268,292.943287213692,0,18.0983881530198,16.8550317334285,314.390578456551,NA
"Rapo75",11,1099,49.8319718692487,24.0253316779256,349.595879377563,0,20.1385081312344,18.7549957900106,318.72412171677,NA
"Rapo75",12,1099,53.0028041025179,24.7779161452942,404.877564279767,0,22.1504171131576,20.6286869413095,322.737804826117,NA
"Rapo75",13,1099,55.6071142198726,25.3793523010376,458.941158817167,0,24.1277277542175,22.4701566523207,326.434887280356,NA
"Rapo75",14,1099,57.8017633950815,25.8753301380633,511.944548501649,0,26.0654432572719,24.2747514050799,329.835950492554,NA
"Rapo75",15,1099,59.6904861653076,26.294681438654,563.961369801011,0,27.9596953837195,26.0388687083692,332.970165085385,NA
"Rapo75",16,1099,61.3408316083167,26.6557057344555,614.983405410312,0,29.807539699703,27.7597664104743,335.869734388995,NA
"Rapo75",17,1099,62.7978750192476,26.970427457297,664.952230473974,0,31.6067928655007,29.4354111667689,338.56612362265,NA
"Rapo75",18,1099,64.0926871873307,27.2470567216937,713.783071262837,0,33.3559015425076,31.0643563527659,340.954826486625,NA
"Rapo75",19,1099,65.2615828366927,27.4943943250322,761.545401974764,0,35.0538355576331,32.645642568104,343.031828549548,NA
"Rapo75",20,1099,66.3551308636407,27.723790644365,808.581091030116,0,36.7,34.1787157721896,344.872188192682,NA
"Rapo75",21,1099,67.3912544211876,27.9394032446746,854.938726406499,0,38.2941623137746,35.6633593857383,346.521225013981,NA
"Rapo75",22,1099,68.4159439977691,28.1510123601024,901.085345145983,0,39.8363914223215,37.0996375970904,348.026976398378,NA
"Rapo75",23,1099,69.4195395323848,28.3567346922876,946.826731531592,0,41.3270066130552,38.4878477586652,349.406965280337,NA
"Rapo75",24,1099,70.4025816987195,28.5568071212716,992.101436297952,0,42.7665344181292,39.82848022994,350.679617646178,NA
"Rapo75",25,1099,71.3656609094354,28.7514665270956,1036.85651235599,0,44.1556721010463,41.1221843725249,351.86033499574,NA
"Rapo75",26,1099,72.3094150537801,28.9409497898009,1081.04695959337,0,45.4952566416143,42.3697396658462,352.962061885223,NA
"Rapo75",27,1099,73.23452733208,29.1254937894287,1124.63520456845,0,46.7862383273103,43.5720311127809,353.99573440568,NA
"Rapo75",28,1099,74.1417241871191,29.3053354060204,1167.59061068957,0,48.0296582259537,44.7300282599531,354.970637460538,NA
"Rapo75",29,1099,75.031773332401,29.480711519617,1209.88901577055,0,49.2266289451815,45.8447672790299,355.894691550725,NA
"Rapo75",30,1099,75.9054818772983,29.65185901026,1251.51229472893,0,50.3783181875449,46.9173356515811,356.774684615097,NA
"Rapo75",31,1099,76.7636945490847,29.8190147579906,1292.44794578236,0,51.4859346926094,47.948859076954,357.595333421883,NA
"Rapo75",32,1099,77.6072920118537,29.98241564285,1332.6886988939,0,52.5507162239945,48.9404902846022,358.362992279643,NA
"Rapo75",33,1099,78.4371892823206,30.1422985448795,1372.23214547975,0,53.5739193133945,49.8933994826901,359.083210257171,NA
"Rapo75",34,1099,79.2543342425115,30.2989003441204,1411.08038856494,0,54.5568105179328,50.8087662160662,359.760853732956,NA
"Rapo75",35,1099,80.0597062493348,30.4524579206139,1449.23971268312,0,55.500658983748,51.6877724407287,360.400208092011,NA
"Rapo75",36,1099,80.8543148410399,30.6032081544014,1486.72027288503,0,56.4067301390431,52.5315966501622,361.005062505382,NA
"Rapo75",37,1099,81.6391985405592,30.7513879255239,1523.53580226126,0,57.276280365157,53.3414089125053,361.578780914532,NA
"Rapo75",38,1099,82.4154237557361,30.8972341140229,1559.70333740695,0,58.1105525154773,54.1183666973132,362.12436171165,NA
"Rapo75",39,1099,83.1840837764368,31.0409835999396,1595.24296126744,0,58.9107721699497,54.8636113873822,362.644488113854,NA
"Rapo75",40,1099,83.9483910119066,31.18326202267,1630.21821016731,0,59.6781445281418,55.5782653852592,363.142136802523,NA
"Rapo75",41,1099,84.7012617431893,31.3227796647152,1664.49431793485,0,60.4138518567568,56.2634297361105,363.626008894998,NA
"Rapo75",42,1099,85.4419707703799,31.4594397490463,1698.05733174323,0,61.1190514185494,56.9201821989221,364.080897824191,NA
"Rapo75",43,1099,86.1716661312293,31.5934898134113,1730.93135625265,0,61.7948738190765,57.5495757068266,364.50935673589,NA
"Rapo75",44,1099,86.8914907425387,31.7251715901218,1763.14230771387,0,62.4424217158685,58.1526371649555,364.913683284862,NA
"Rapo75",45,1099,87.6024430524965,31.8546959819739,1794.71485235921,0,63.0627688416506,58.7303665407648,365.295916582522,NA
"Rapo75",46,1099,88.3053101086617,31.9822317265167,1825.67070148055,0,63.6569592993305,59.2837362074566,365.657852066832,NA
"Rapo75",47,1099,89.0011631377884,32.1079957492194,1856.03859690231,0,64.2260070917548,59.8136905060414,366.001184790531,NA
"Rapo75",48,1099,89.6906570806376,32.2321264722219,1885.83969664695,0,64.7708958538315,60.3211454958637,366.327361765783,NA
"Rapo75",49,1099,90.3745267359052,32.35477422637,1915.09760520446,0,65.2925787586211,60.8069888671448,366.63771952148,NA
"Rapo75",50,1099,91.0535195833651,32.476089115483,1943.83690259474,1943.83690259474,65.7919785724961,61.2720799923523,366.933481380069,NA
"Rapo76",1,1257,0,0,0,0,1.13957127926121,1.06059005803424,NA,NA
"Rapo76",2,1257,0.251239169849025,1.59510853137709,0.706017144320733,0,2.59527856970121,2.41540542390548,269.299080498489,NA
"Rapo76",3,1257,2.49303746635866,5.02470958380163,6.34091197171844,0,4.32981301968666,4.02972304181272,277.540592477836,NA
"Rapo76",4,1257,7.67374453723289,8.81556661619085,22.4040602870501,0,6.2371966378288,5.8049100257901,282.855024014187,NA
"Rapo76",5,1257,15.3868027408064,12.4830513224367,53.0695370606441,0,8.25542586223894,7.68326014675072,288.425343081401,NA
"Rapo76",6,1257,24.3888838091304,15.7160182813812,98.6373702425005,0,10.3429496968122,9.62610221828247,294.063704641089,NA
"Rapo76",7,1257,33.1532911767354,18.323561365022,154.942764219537,0,12.4699647435231,11.605698451432,299.716317091854,NA
"Rapo76",8,1257,40.5376677568874,20.26170287653,215.670621438775,0,14.6142384928757,13.6013572238621,305.298746770714,NA
"Rapo76",9,1257,46.1731988040031,21.6242744351993,275.868662147164,0,16.7587842159128,15.597269120069,310.680690730887,NA
"Rapo76",10,1257,50.2821171533868,22.5659354120404,333.373945387478,0,18.8904332536121,17.5811781723117,315.762275440603,NA
"Rapo76",11,1257,53.2768527224329,23.2282153466723,387.950009231542,0,20.9988950258271,19.5435070183021,320.50064432485,NA
"Rapo76",12,1257,55.5190905384348,23.7119753396082,440.058923079157,0,23.076105140117,21.4767501912015,324.89088131428,NA
"Rapo76",13,1257,57.260391081022,24.0809556535465,490.200742235321,0,25.1157548613155,23.3750362006366,328.9471707084,NA
"Rapo76",14,1257,58.6822885212511,24.3781129073285,538.920644508507,0,27.1129406277884,25.2338013402264,332.656825006308,NA
