"Age","Needle_0to1yr(X3)","Needle_1to2yr(X4)","Needle_2plus_yr(X5)","Live_branch(X6)","Dead_branch(X7)","Stem_wood(X8)","Coarse_root(X9)","Needle_litter(X10)","Branch_litter(X11)","Stem_litter(X12)","Coarse_root_litter(X13)","Live_fine_root(X14)","Fine_root_litter(X15)","Stem_bark(X16)","SPHA","BA","HT","GCL","Vol","dens","CTREES","CSHRUB","CSTAND","CFAS","CSTEM","C_branch_live","C_branch_dead","CROOTL","CROOTD","C_needle_litter","C_branch_litter","C_stem_litter","cfrac_bark","AGL","BGL","DWL","FL","Total","Plot"
11.7,0.610603130688561,0.00334765324640036,-0.0209228327900022,0.505819537966341,-1.48707417872699e-08,1.35190479747243,0.371544863024756,1.01928669234293,1.6039860024678,3.91769997680163,0.805417260627942,0.901334990322207,0.499226585795528,0.136592368751396,250,5.65625082874937,10.7400656267092,9.43926023235302,22.8629447315501,0.392096585660212,5.85292050592358,1.478178,7.33109850592358,0.296513975572479,0.744248583111913,0.25290976898317,-7.43537089363493e-09,0.636439926673481,0.652321923211735,0.509643346171465,0.801993001233899,1.95884998840081,0.544942465934743,1.3089504364945,0.643956206523968,2.39462043937679,1.34836216513271,5.69588924752797,"HighT2"
12.7,0.682553033607219,0.30530156534428,0.000836913311600091,1.39079095857243,2.698928417193e-08,3.76639089180931,1.03143637414861,1.08288707930065,1.40710501935455,3.4928787618709,0.65364299359923,0.710316393651509,1.59163124666516,0.378866920815783,250,6.99485270882774,11.6674606069462,10.1603242820811,30.1837128241235,0.396612254443093,8.24731908952026,1.645158,9.89247708952026,0.49434575613155,2.07262890631255,0.695395479286216,1.3494642085965e-08,0.87087638390006,1.1226371201322,0.541443539650326,0.703552509677275,1.74643938093545,0.546421814240165,3.2960022813318,0.8798543425538,2.10228653002336,1.27985593870877,7.55799909261773,"HighT2"
13.7,0.772654481415773,0.34127651680361,0.0763253913360701,2.4187011829633,2.72527517690431e-06,6.72146347293857,1.82803347533949,1.41675503863347,1.23439015829723,3.11412362288368,0.530469340510853,1.02587445507131,1.82945758887654,0.677060902639869,250,8.42613914211421,12.5600883076462,10.8483503119631,38.600044854235,0.400986683566156,10.9932941764925,1.818538,12.8118321764925,0.595128194777726,3.69926218778922,1.20935059148165,1.36263758845216e-06,1.4269539652054,1.1799634646937,0.708377519316734,0.617195079148616,1.55706181144184,0.547539881637352,5.55608132172453,1.44052388139451,1.84780863244103,1.36268863122238,10.2071024667824,"HighT2"
14.7,0.857701709584356,0.386327240707886,0.0853191292009024,3.58217125723147,3.0467517810104e-05,10.2200395750588,2.76044830245236,1.82500494137204,1.08287515284396,2.77643932118839,0.430506750592593,1.08577574676098,2.41695132526771,1.03234374819004,250,9.93184764334216,13.4161541246871,11.5030973798805,48.0518849868196,0.405222239670334,14.2709673339846,1.998318,16.2692853339846,0.664674039746572,5.6261916616244,1.79108562861574,1.5233758905052e-05,1.92311202460667,1.42372903793015,0.912502470686022,0.541437576421981,1.38821966059419,0.548384898797998,8.15516261756257,1.94052909879757,1.62592165839296,1.49465036842703,13.2162637431801,"HighT2"
15.7,0.937563745614983,0.428850854792178,0.0965818101769716,4.87153306317277,0.00017712944659631,14.2495486722214,3.8242523005051,2.22912735603603,0.949957830402984,2.47537228374475,0.349381289646845,1.26587999921568,2.78880025626997,1.44411964210877,250,11.4950086156577,14.2346198647729,12.1247504312302,58.4599682942056,0.409318664367508,17.9555731166775,2.184498,20.1400711166775,0.731498205292066,7.84683415716507,2.43576653158638,8.85647232981552e-05,2.54506614986039,1.56909077295841,1.11456367801801,0.474978915201492,1.23768614187237,0.549023549029266,11.1110681525979,2.56745252882549,1.43215006170954,1.63404978582965,16.7447205289626,"HighT2"
16.7,1.01141144800112,0.468781872807491,0.107212713698044,6.27554945849874,0.000718468909465739,18.7852303801222,5.01230300896311,2.62780748161573,0.833355421605079,2.20695186686412,0.283543255447834,1.37417636043791,3.2374441218331,1.91034192850179,250,13.1004131040459,15.0150485324514,12.7138171823558,69.7328048126958,0.413273220844477,22.0674138936529,2.377078,24.4444918936529,0.793703017253329,10.347786154312,3.13777472924937,0.00035923445473287,3.19323968470051,1.76049368864047,1.31390374080787,0.41667771080254,1.10347593343206,0.549506230490535,14.4027840623123,3.22078119305211,1.26268102701216,1.7790377322555,20.665284014632,"HighT2"
17.7,1.07868694325839,0.505705724000561,0.117195468201873,7.78186502103144,0.00230347840345649,23.7934410272746,6.31553669090218,3.01665413674819,0.731065355210527,1.96763798909744,0.230111857996806,1.50374922987923,3.61523771913676,2.42786266571491,250,14.7347520153629,15.75747859865,13.2710473127543,81.7722524158195,0.417080840466936,26.5435266534282,2.576058,29.1195846534282,0.850794067730413,13.1106518464947,3.89093251051572,0.00115173920172825,3.9096429603907,1.92267478856678,1.5083270683741,0.365532677605264,0.983818994548719,0.549871033291264,18.005334715109,3.94288577508187,1.11425917247678,1.92632781886678,24.9888074815345,"HighT2"
18.7,1.13902456765756,0.539343471629196,0.12642643100014,9.37714215435129,0.00623844396666796,29.234476718943,7.72362292063943,3.39163185373758,0.641330865238397,1.75427444262325,0.186749168507321,1.60610634912449,3.99093795000448,2.99274959051058,250,16.386515072591,16.4623217526884,13.7973687791109,94.4774822676376,0.420734269383447,31.3550274639667,2.781438,34.1364654639667,0.902397235143448,16.1136131547268,4.68857107717565,0.00311922198333398,4.66486463488196,2.0888435592559,1.69581592686879,0.320665432619198,0.877137221311627,0.550146745316892,21.8902591738761,4.70409544204849,0.984098970843202,2.07294283755365,29.6513964243215,"HighT2"
19.7,1.1921931809382,0.56951228382878,0.134835867907299,11.0469048540098,0.0148563167034288,35.0647254027949,9.22544808859601,3.74909351373338,0.562610819642774,1.5640472673801,0.151557821668886,1.70426585677128,4.32480973968888,3.60053938542676,250,18.0457685805622,17.1302795410156,14.2938374401257,107.747619125047,0.42422421512942,36.4527001995453,2.993218,39.4459181995453,0.948270666337138,19.3326323941108,5.52345242700491,0.00742815835171442,5.46485697268364,2.23818378067889,1.87454675686669,0.281305409821387,0.782023633690051,0.550355123983186,26.026943709011,5.51041054572575,0.869811780147837,2.21621602735534,34.6233820622399,"HighT2"
20.7,1.23805088192724,0.596096590469099,0.142378070957195,12.7751762498984,0.0319366321041052,41.2382130903628,10.8094524825468,4.0858685223493,0.493553252362886,1.39444763895732,0.122997995078716,1.78599772240933,4.63230746020758,4.24642724424827,249.762519678112,19.6964763172911,17.7622753127145,14.7630605072019,121.437671158786,0.427539493231083,41.7964519169395,3.211398,45.0078499169395,0.988262771676769,22.7423201673056,6.38758812494919,0.0159683160520526,6.29772510247804,2.37765272764315,2.04293426117465,0.246776626181443,0.69722381947866,0.550512613191238,30.3834822384173,6.34983519458588,0.769344936456271,2.35382279220206,39.8564851616615,"HighT2"
