"Plot","Index age","Age","Stocking b4 thin","Stocking aft thin","MTH","Crown Lth","Volume b4 thin","Volume aft thin","BA b4 thin","BA aft thin","DBH b4 thin","DBH aft thin","Mean Height","Event"
"HighT1",26.5,9,996.96525124156,,13.1127486908452,0,74.385142084652,149.04348290396,17.4466535315505,28.5294712492984,14.9255471047014,19.1172572087406,12.2205906072623,
"HighT1",26.5,10,993.735854739337,270,14.6906641125007,0,109.160863033757,,22.9967465188538,,17.1459146512885,,13.6913874695292,"TW"
"HighT1",26.5,11,270,,16.2186897179103,0,149.04348290396,,28.5294712492984,,19.1172572087406,,15.659526518586,
"HighT1",26.5,12,270,,17.6910639963921,0,66.6673755533621,,11.7148477360142,,23.5017739030609,,17.0811385267193,
"HighT1",26.5,13,270,,19.1040052312089,0,86.476911842638,,14.0761701331709,,25.7617032588546,,18.4453665328439,
"HighT1",26.5,14,270,,20.4552630648839,0,108.421814166987,,16.4774414748073,,27.8725824378843,,19.750037763869,
"HighT1",26.5,15,270,,21.7437738073089,0,132.182507317502,,18.8858051833766,,29.8400861373238,,20.9941252019686,
"HighT1",26.5,16,270,,22.9693920303772,0,157.444550958303,,21.276933747522,,31.6728278571159,,22.1774884328839,
"HighT1",26.5,17,270,,24.1326795215914,0,183.906074119023,,23.6327160963081,,33.3802156921111,,23.3006698756667,
"HighT1",26.5,18,270,,25.2347381432869,0,211.279866490746,,25.9392967235039,,34.9712711347262,,24.3647334043264,
"HighT1",26.5,19,270,,26.2770767884259,0,239.294672275746,,28.1857948546763,,36.4541908630762,,25.3711358905196,
"HighT1",26.5,20,270,,27.2615051269531,0,267.697037870629,,30.3635820572873,,37.8363141062318,,26.3216246131561,
"HighT1",26.5,21,270,,28.1900486026492,0,296.253470482847,,32.4658910531382,,39.1242462053264,,27.2181551858611,
"HighT1",26.5,22,270,,29.0648804155621,0,324.893928358423,,34.5026173046534,,40.3327969793648,,28.0628258844123,
"HighT1",26.5,23,270,,29.8882671645545,0,354.117233507962,,36.5397141032216,,41.50638329016,,28.8578251633405,
"HighT1",26.5,24,270,,30.6625255288456,0,383.627691321122,,38.5551016819839,,42.6356851237211,,29.605389830939,
"HighT1",26.5,25,270,,31.3899879035846,0,413.306809481088,,40.5455644747959,,43.7224002155414,,30.3077718696014,
