"Plot","Index age","Age","Stocking b4 thin","Stocking aft thin","MTH","Crown Lth","Volume b4 thin","Volume aft thin","BA b4 thin","BA aft thin","DBH b4 thin","DBH aft thin","Mean Height"
"A2027",18,18,1509.77303153029,1509.77303153029,19.3121228719769,0,659.466613733274,659.466613733274,99.2505834096386,99.2505834096386,28.9284326590571,28.9284326590571,17.965149825592
"A2027",19,19,1455.75749145358,1455.75749145358,20.3242146315977,0,715.43522082457,715.43522082457,102.816889675119,102.816889675119,29.9848524362361,29.9848524362361,18.9078847450834
"A2027",20,20,1400.45980400358,1400.45980400358,21.2962341308594,0,769.876942361464,769.876942361464,106.036769382369,106.036769382369,31.0461049691682,31.0461049691682,19.8138138207831
"A2027",21,21,1344.7880165934,1344.7880165934,22.2280272087849,0,822.595729419087,822.595729419087,108.943864919566,108.943864919566,32.1135764993465,32.1135764993465,20.6829042423282
"A2027",22,22,1289.5290609462,1289.5290609462,23.1197705810015,0,874.364569483209,874.364569483209,111.68601798004,111.68601798004,33.2045836016995,33.2045836016995,21.5154414183386
"A2027",23,23,1235.20439817016,1235.20439817016,23.9719101998565,0,924.601352822658,924.601352822658,114.219992237282,114.219992237282,34.3096154406759,34.3096154406759,22.3119764947649
"A2027",24,24,1182.30313019992,1182.30313019992,24.7851090648602,0,973.09282986217,973.09282986217,116.549302936406,116.549302936406,35.4245728591434,35.4245728591434,23.0732633568538
"A2027",25,25,1131.21611231336,1131.21611231336,25.5602030490521,0,1019.68827469928,1019.68827469928,118.68151738105,118.68151738105,36.5454198662845,36.5454198662845,23.8002125211091
"A2027",26,26,1082.23413007333,1082.23413007333,26.2981635417625,0,1064.29550538841,1064.29550538841,120.627476531653,120.627476531653,37.668359809259,37.668359809259,24.4938493675119
"A2027",27,27,1035.55338874081,1035.55338874081,27.0000658991616,0,1106.87423277041,1106.87423277041,122.400413427649,122.400413427649,38.7899658352093,38.7899658352093,25.1552784402008
"A2027",28,28,991.286065124802,991.286065124802,27.6670628506176,0,1147.42800719583,1147.42800719583,124.015093774568,124.015093774568,39.907265856535,39.907265856535,25.7856537196017
"A2028",1,1,1794,1794,0.585056603926896,0,0,0,0,0,0,0,0.544150161327377
"A2028",2,2,1794,1794,1.29517830807588,0,0,0,0,0,0,0,1.2046210239433
"A2028",3,3,1794,1794,2.24196287099138,0,1.64291395051982,1.64291395051982,0.472567805521419,0.472567805521419,1.83119691536935,1.83119691536935,2.08520756752689
"A2028",4,4,1793.17655395065,1793.17655395065,3.35381424456652,0,10.1037672436068,10.1037672436068,4.07066522496943,4.07066522496943,5.37570427418152,5.37570427418152,3.11932054861016
"A2028",5,5,1792.35251289729,1792.35251289729,4.58190482832202,0,30.7941918110583,30.7941918110583,12.3288114007373,12.3288114007373,9.35757015599353,9.35757015599353,4.26154609783815
"A2028",6,6,1791.46469121112,1791.46469121112,5.89013538147654,0,68.2007191846565,68.2007191846565,24.9118072804731,24.9118072804731,13.3049330378042,13.3049330378042,5.47830917954878
"A2028",7,7,1789.95533288444,1789.95533288444,7.25078994097671,0,122.840624817475,122.840624817475,40.0460895200675,40.0460895200675,16.8761416492883,16.8761416492883,6.74383315267231
"A2028",8,8,1786.19791292804,1786.19791292804,8.64216052941413,0,190.069001585864,190.069001585864,55.2185718572087,55.2185718572087,19.8377310529324,19.8377310529324,8.03793342418502
"A2028",9,9,1778.02486934679,1778.02486934679,10.0470649350611,0,262.817984710697,262.817984710697,68.430109943158,68.430109943158,22.1344586682187,22.1344586682187,9.34464014484613
"A2028",10,10,1764.0736711432,1764.0736711432,11.4518401460336,0,336.119516527103,336.119516527103,79.0622312589784,79.0622312589784,23.8858321476705,23.8858321476705,10.6512594491448
"A2028",11,11,1744.24045949242,1744.24045949242,12.8456183137441,0,408.462316766828,408.462316766828,87.5298629070176,87.5298629070176,25.2748826500603,25.2748826500603,11.9476975255534
"A2028",12,12,1719.12458368656,1719.12458368656,14.2197842936448,0,480.169349209295,480.169349209295,94.4995061331587,94.4995061331587,26.4530221652302,26.4530221652302,13.2259564888719
"A2028",13,13,1689.47490680553,1689.47490680553,15.567556990213,0,551.84202962833,551.84202962833,100.489264376844,100.489264376844,27.5168149024025,27.5168149024025,14.4797467614515
"A2028",14,14,1655.98462109939,1655.98462109939,16.8836590376408,0,623.787844605996,623.787844605996,105.817168511657,105.817168511657,28.5209587424281,28.5209587424281,15.7041813878815
"A2028",15,15,1619.27695758664,1619.27695758664,18.1640517852012,0,695.980056126503,695.980056126503,110.658955725596,110.658955725596,29.4948992919472,29.4948992919472,16.8955306339867
"A2028",16,16,1579.93548711837,1579.93548711837,19.4057199343549,0,768.156875108993,768.156875108993,115.106315233206,115.106315233206,30.4539829769495,30.4539829769495,18.0510224545638
"A2028",17,17,1538.52677739055,1538.52677739055,20.6064947815707,0,839.919822370904,839.919822370904,119.204872476717,119.204872476717,31.4057143232927,31.4057143232927,19.1686785943018
"A2028",18,18,1495.60730353448,1495.60730353448,21.7649080243724,0,910.805208831392,910.805208831392,122.976131083821,122.976131083821,32.3530944826096,32.3530944826096,20.2471787664439
"A2028",19,19,1451.71861500192,1451.71861500192,22.8800701198471,0,980.33302203047,980.33302203047,126.429794836776,126.429794836776,33.2964318443618,33.2964318443618,21.2857472016244
"A2028",20,20,1407.37620736118,1407.37620736118,23.9515686035156,0,1048.04066104184,1048.04066104184,129.570734917446,129.570734917446,34.2343873701177,34.2343873701177,22.2840571959691
