"Plot","Age","300 Index","Site Index","Total C","AGL C","BGL C","DWL C","FL C","Species"
"A2064",19.1,59.9964189453125,32.9447937011719,687.905774643929,682.907774643929,117.643209289132,0,16.5004762610449,"PRAD"
"A2075",17.1,59.9964189453125,28.6277770996094,796.830456197098,791.832456197098,136.618881137774,0,19.2151468555984,"PRAD"
"A2088",15.1,31.8708154296875,26.0630798339844,502.102825111011,497.104825111011,83.963236958024,0,12.7646455585407,"PRAD"
"A2269",32.9,59.9964189453125,22.6927185058594,1007.62974212708,1002.63174212708,171.54104429909,0,25.6151294674512,"PRAD"
"A2282",10,32.3936494140625,28.7083435058594,485.715455475858,480.717455475858,81.5179190133647,0,12.3417665124659,"PRAD"
"A2406",16.1,48.8951494140625,26.1503601074219,729.463291179459,724.465291179459,123.471049155759,0,18.3099553023065,"PRAD"
"A2408",16.1,50.9077021484375,26.3853454589844,745.420762885448,740.422762885448,126.341790686864,0,18.6654096830146,"PRAD"
"A2409",16.1,43.2442451171875,26.7378234863281,646.941998137142,641.943998137142,109.037263116949,0,16.3662343383265,"PRAD"
"A2410",16.1,43.8601865234375,25.6837463378906,681.271690176542,676.273690176542,114.863654208979,0,17.3086268669842,"PRAD"
"A2411",16.1,45.5647685546875,25.3312683105469,713.22552346115,708.22752346115,120.354234546064,0,18.1094211927345,"PRAD"
"A2412",16.1,34.9218740234375,24.8612976074219,569.926277640548,564.928277640548,95.7410849263215,0,14.6194715655376,"PRAD"
"A2413",16.1,59.9964189453125,28.6076354980469,797.42413500351,792.42613500351,136.719296572211,0,19.2307062674637,"PRAD"
"A2414",16.1,44.6838291015625,26.1503601074219,679.524966162041,674.52696616204,114.61256230714,0,17.2060713834513,"PRAD"
"A2415",16.1,38.8037373046875,24.8612976074219,629.075322681809,624.077322681809,105.893741633596,0,16.1114998506294,"PRAD"
"A2416",16.1,38.6891435546875,24.7438049316406,629.711249234412,624.713249234412,105.99939670455,0,16.1354702112621,"PRAD"
"A2417",16.1,42.4134404296875,26.7378234863281,636.832624830034,631.834624830033,107.281281975289,0,16.1404068940387,"PRAD"
"A2418",16.1,59.9964189453125,26.5028381347656,845.879808317883,840.881808317883,144.043030581581,0,20.9892844695203,"PRAD"
"A2419",16.1,42.9864091796875,26.2678527832031,655.258843932796,650.260843932796,110.425885274104,0,16.6294200919882,"PRAD"
"A2420",16.1,46.1162509765625,25.2137756347656,723.860107813255,718.862107813255,122.184570310823,0,18.3767272630358,"PRAD"
"A2549",21.5,59.9964189453125,26.9190979003906,825.270677711973,820.272677711973,140.328857096822,0,20.571624760328,"PRAD"
"A2550",21.4,59.9964189453125,27.9798889160156,812.582988369639,807.584988369639,139.177211425074,0,19.7148885719687,"PRAD"
"A2552",24.2,59.9964189453125,27.3924255371094,828.945430303228,823.947430303228,141.873434199398,0,20.2043809359346,"PRAD"
"A2554",26.2,59.9964189453125,28.0940246582031,813.037414424166,808.039414424166,139.32612906505,0,19.6373014642851,"PRAD"
"A2560",18.5,59.9964189453125,33.2099914550781,693.608871347809,688.610871347809,118.587774162104,0,16.4007700704864,"PRAD"
"A2561",22,59.9964189453125,32.0484924316406,718.00327280667,713.005272806669,122.775928669794,0,17.0065274602752,"PRAD"
"A2563",25.2,59.9964189453125,30.0108337402344,762.412857961287,757.414857961287,130.560334307746,0,18.2320104139252,"PRAD"
"A2564",26.2,59.9964189453125,31.1152648925781,738.348970184903,733.350970184903,126.292788900838,0,17.5406473108059,"PRAD"
"A2565",19.5,59.9964189453125,29.2219543457031,787.432733583023,782.434733583023,134.598245347196,0,18.7941905054215,"PRAD"
"A2567",25.2,59.9964189453125,32.1659851074219,708.509454431546,703.511454431546,121.343996043026,0,16.9222237868673,"PRAD"
"A2568",23.2,59.9964189453125,31.5617370605469,721.837947211618,716.839947211618,123.656469607019,0,17.2599726755841,"PRAD"
"A2569",23.2,59.9964189453125,35.0193786621094,653.642502104797,648.644502104797,111.808381915537,0,15.5616574325648,"PRAD"
"A2570",23.2,59.9964189453125,31.8370056152344,715.684922574891,710.686922574891,122.588883089837,0,17.1036546488993,"PRAD"
"A2571",23.2,59.9964189453125,29.1145324707031,783.023500117312,778.025500117312,134.251555436204,0,18.8499608349105,"PRAD"
