"Age","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","SPHA","BA","HT","GCL","Vol","dens","CTREES","CSHRUB","CSTAND","CFAS","CSTEM","C_branch_live","C_branch_dead","CROOTL","CROOTD","C_needle_litter","C_branch_litter","C_stem_litter","Plot"
18,5.05788197910929,2.59692373094764,0.66483904165746,19.6623983923244,42.4262268242135,205.608091019704,56.0587639138038,22.2809708250497,0,0,0,6.89566903298329,19.8961356097014,20.981779474675,1595.54313333005,98.1233914485265,15.3658201649423,11.2096260498671,532.803460945688,0.420734269383447,201.064839922085,2.637,203.701839922085,4.1598223758572,113.294935247189,9.83119919616219,21.2131134121067,31.4772164733936,9.94806780485069,11.1404854125249,0,0,"A1809"
19,4.90140545348878,2.52894098955465,0.64923093273691,19.8671669098615,45.7555231386822,229.273171891329,62.1740232044854,22.5414836285544,0,0,0,6.78266168524043,19.8936486421316,23.4418584375791,1534.30115018735,102.815164234994,16.2027949027973,11.5532281596493,584.604187063125,0.42422421512942,218.904557456822,2.8443,221.748857456822,4.03978868789017,126.357515164454,9.93358345493076,22.8777615693411,34.4783424448629,9.94682432106579,11.2707418142772,0,0,"A1809"
20,4.71950141618528,2.45070272674439,0.632235247388662,20.1004888161654,48.5510428958801,252.569500952119,68.1674902590837,22.6000940107405,0,0,0,6.6070132957481,19.7229438760838,25.873191647185,1470.01067248955,107.013288184182,17.0060729980469,11.8894185233213,634.866322423433,0.427539493231083,235.997102571662,3.058,239.055102571662,3.90121969515917,139.221346299652,10.0502444080827,24.27552144794,37.3872517774159,9.86147193804191,11.3000470053703,0,0,"A1809"
21,4.52533914969868,2.35975070809264,0.612675681686098,20.353282797178,50.8389763361939,275.320034379645,73.998680317475,22.479238563286,0,0,0,6.40214934153793,19.3775330041424,28.25576292709,1404.20821520157,110.758218264016,17.7753175978566,12.2184096806199,683.319845567803,0.43066717380946,252.261711603013,3.2781,255.539811603013,3.74888276973871,151.787898653367,10.176641398589,25.419488168097,40.2004148295065,9.68876650207119,11.239619281643,0,0,"A1809"
22,4.40468271686315,2.26266957484934,0.58993767702316,20.6289670620251,52.7507301348775,297.788240474445,79.7391711872177,22.2000034884113,0,0,0,6.3362489666103,18.9044398542952,30.6158461454768,1338.28436858741,114.222832812197,18.5105272355461,12.5401219986871,730.619525184995,0.433592728184344,268.110468641047,3.5046,271.615068641047,3.62864498436783,164.202043309961,10.3144835310125,26.3753650674388,43.037710076914,9.45221992714762,11.1000017442056,0,0,"A1809"
23,4.23045403252321,2.20234135843158,0.565667393712335,20.9161120249853,54.2557881107525,319.655080449055,85.3107771365892,21.826061712926,0,0,0,6.07495819109713,18.5785045799772,32.9187818462268,1273.2407805551,117.363336574122,19.2119745880376,12.8545599371561,776.175912276048,0.436300175478273,283.267263418138,3.7375,287.004763418138,3.49923139233356,176.286931147641,10.4580560124927,27.1278940553762,45.6928676638432,9.28925228998858,10.913030856463,0,0,"A1809"
24,4.04449512578561,2.11522701626161,0.550585339607894,21.2150615667428,55.3654381844561,340.789854202516,90.683209863887,21.3774063548032,0,0,0,5.86443265606493,18.0301194850347,35.1497087067778,1209.9795539394,120.195658513412,19.8801542636266,13.1614463319427,819.798308907797,0.438758252696388,297.592769250969,3.9768,301.569569250969,3.35515374082755,187.969781454647,10.6075307833714,27.6827190922281,48.273821259976,9.01505974251737,10.6887031774016,0,0,"A1809"
25,3.85239493669166,2.0222475628928,0.528806754065402,21.5223499467398,56.1046015395292,361.107721039802,95.8374973818517,20.8536379988088,0,0,0,5.59975139536739,17.4511063369141,37.2986919384152,1149.19501255318,122.743050687396,20.5157383685507,13.4604129309194,861.389185454675,0.441213062072172,311.089403415539,4.2225,315.311903415539,3.20172462682493,199.203206489109,10.7611749733699,28.0523007697646,50.7186243886095,8.72555316845703,10.4268189994044,0,0,"A1809"
26,3.6624988070838,1.92619746834583,0.505561890723201,21.8354513287403,56.507496338399,380.575950379098,100.767533850463,20.2570451975243,0,0,0,5.3541600626715,16.7761581347698,39.3614168583944,1091.37164942966,125.033411557913,21.1195387740249,13.7510756699746,900.928879852411,0.443754211988913,323.764735158107,4.4746,328.239335158107,3.04712908307642,209.968683618746,10.9177256643702,28.2537481691995,53.0608469565675,8.38807906738492,10.1285225987622,0,0,"A1809"
27,3.47981963468838,1.8312494035419,0.481549367086458,22.1520184027172,56.6130686629107,399.197007790999,105.475778706181,19.6009139409766,0,0,0,5.10476535645681,16.0837959986968,41.3374168943598,1036.80304761364,127.096763857759,21.6924751534985,14.0330901906274,938.457433290522,0.446382179195597,335.678692079307,4.7331,340.411792079307,2.89630920265837,220.267212342679,11.0760092013586,28.3065343314553,55.2902720313187,8.04189799934839,9.80045697048831,0,0,"A1809"
