Plot,Species,Year planted,Latitude (decimal degrees),Elevation above sea level (m),Needle retention score,Soil %C,Soil %N,Soil Organic P (mg/kg),Early survival (%),Mean Temperature (°C),Mean Outerwood Density (kg/m3),Outerwood density assessment age (years),Inner ring,Outer ring,300 Index,Site Index,300 Index Drift,Additive Mortality Coef.,Mult Mortality Coef.,Initial Dry matter Needle litter (t/ha),Initial Dry matter Branch litter (t/ha),Initial Dry matter Stem litter (t/ha),Initial Dry matter Coarse root litter (t/ha),Initial Dry matter Fine root litter (t/ha),Initial N Needle litter (kg/ha),Initial N Branch litter (kg/ha),Initial N Stem litter (kg/ha),Initial N Coarse root litter (kg/ha),Initial N Fine root litter (kg/ha),Initial P Needle litter (kg/ha),Initial P Branch litter (kg/ha),Initial P Stem litter (kg/ha),Initial P Coarse root litter (kg/ha),Initial P Fine root litter (kg/ha)
A2549,PRAD,1972,-38.2,300,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2550,PRAD,1972,-38.2,300,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2552,PRAD,1972,-38,40,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2554,PRAD,1970,-38,50,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2560,PRAD,1975,-38.2,300,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2561,PRAD,1975,-38.2,300,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2563,PRAD,1975,-38.2,300,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2564,PRAD,1974,-38.2,300,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2565,PRAD,1974,-38.2,300,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2567,PRAD,1975,-38.2,300,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2568,PRAD,1973,-38,40,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2569,PRAD,1973,-38,40,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2570,PRAD,1973,-38,40,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2571,PRAD,1973,-38,40,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
A2572,PRAD,1972,-38,40,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
