"Variable","Value","Type"
"VOL_v_nit","0.9653","Double"
"VOL_v_rad","0.942","Double"
"VOL_v_red1","0.4872","Double"
"VOL_v_red2","0.7221","Double"
"VOL_v_reg","0.9602","Double"
"VOL_v_sal","0.9632","Double"
"VOL_w_bla","0.5543","Double"
"VOL_w_del","0.8369","Double"
"VOL_w_dfr","0","Double"
"VOL_w_fas","0.8995","Double"
"VOL_w_lus","0.5866","Double"
"VOL_w_mac","0.5866","Double"
"VOL_w_nit","0.4611","Double"
"VOL_w_rad","1.161","Double"
"VOL_w_red1","0.1796","Double"
"VOL_w_red2","0.8593","Double"
"VOL_w_reg","1.0526","Double"
"VOL_w_sal","0.3116","Double"
"VOL_z_bla","0.079","Double"
"VOL_z_del","0","Double"
"VOL_z_dfr","0","Double"
"VOL_z_fas","0","Double"
"VOL_z_lus","0","Double"
"VOL_z_mac","0","Double"
"VOL_z_nit","0.0716","Double"
"VOL_z_rad","0","Double"
"VOL_z_red1","0","Double"
"VOL_z_red2","0","Double"
"VOL_z_reg","0","Double"
"VOL_z_sal","0.0972","Double"
"a0","0.4242","Double"
"a01","-0.002822","Double"
"a1","0.319071","Double"
"a10","0.6067","Double"
"a12","0.06129","Double"
"a2","0","Double"
"a3","23.9972","Double"
"a31","0.3208","Double"
"a4","-47.47884","Double"
"a5","26.02156","Double"
"alpha0_458","0.702","Double"
"alpha0_472","0.7472","Double"
"alpha1_458","0.5646","Double"
"alpha1_472","0.361","Double"
"alpha2_458","-0.6188","Double"
"alpha2_472","-0.4524","Double"
"b1","2.6295","Double"
"b2","0.1406","Double"
"b3","0.1455","Double"
"b30","0.7768","Double"
"b4","-0.1275","Double"
"b5","22.7873","Double"
"beta1_458","2.6295","Double"
"beta1_472","3.8508","Double"
"beta2_458","0.1406","Double"
"beta2_472","0.2725","Double"
"beta3_458","0.1455","Double"
"beta3_472","0.2658","Double"
"beta4_458","-0.1275","Double"
"beta4_472","0.0509","Double"
"beta5_458","22.7873","Double"
"beta5_472","21.9598","Double"
"bf0","0.945","Double"
"bf1","-0.387","Double"
"bf2","0.000686","Double"
"bf3","-0.267","Double"
"bf4","0.00357","Double"
"g10","1.018","Double"
"g11","0.2967","Double"
"g2","12.68","Double"
"g31","1.047","Double"
"nMTD","100 ' number of top stems for MTD calculation","String"
"pCH","-39.1","Double"
"qch","0.78","Double"
"rcCYP","0.1921","Double"
"rcRED","0.1376","Double"
"rch","4.87","Double"
"scCYP","-0.00114","Double"
"scRED","-0.006221","Double"
"uba1","0.7468","Double"
"uba2","0.3609","Double"
"uba3","-0.4524","Double"
"uv472","0.28606","Double"
"uvCYP","0.2944","Double"
"v1","1.8281198","Double"
"v2","1.102592","Double"
"v3","-10.19719","Double"
"vv472","5.6238","Double"
"vvCYP","0.3973","Double"
"wv472","2.4217","Double"
"wvCYP","0.5866","Double"
