A1808,25.35068493,AGE,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,SPH,BA,HT,GCL,VOL,DENS,LAI,PRNHT,EXT,CSHRUB
,,15,12.24444863,7.516951599,1.211498009,0.879980833,0.31707166,13.72138779,0.115109146,27.84330779,8.934909169,4.836466507,0,5.142524056,0.396171362,1.5437421,4.335603191,2.878077836,440.0424657,76.91034579,12.00455691,9.824020714,76.91034579,0.362022918,3.942408559,0,0,2.0535
,,16,12.16066642,7.249685372,1.161802904,0.848048606,0.307993292,15.26854524,0.185758144,31.40923798,10.13061581,5.029479101,0,6.317013792,0.478642882,1.52349548,4.396702681,3.243140694,399.838703,86.39870056,12.93031213,10.59996955,86.39870056,0.363538314,3.800051806,0,0,2.2416
,,17,11.97361956,6.915509766,1.111830888,0.813262033,0.296817012,16.73324549,0.276226386,34.77116975,11.29230181,5.135466724,0,7.565603065,0.563755225,1.493343458,4.395660506,3.589283227,363.3080915,95.28031585,13.83605373,11.37046735,95.28031585,0.3649355,3.648833694,0,0,2.4361
,,18,11.72096616,6.54395421,1.063398911,0.778281621,0.284641711,18.11296855,0.384404658,37.90119122,12.41257097,5.169457111,0,8.867077513,0.649807225,1.457061923,4.349932229,3.91319744,330.1150398,103.4945465,14.71965266,12.13428234,103.4945465,0.36621438,3.497590714,0,0,2.637
,,19,11.43711429,6.164509141,1.018151059,0.744379238,0.272398567,19.41064601,0.506860266,40.78905261,13.48825673,5.146559265,0,10.20142478,0.735323494,1.418950462,4.273560355,4.213402078,299.9546172,111.0281649,15.57933896,12.89034151,111.0281649,0.367375725,3.352485183,0,0,2.8443
,,20,11.08803551,5.735684392,0.971563454,0.712705741,0.260532733,20.62615603,0.638620705,43.41216836,14.5126719,5.080823465,0,11.54987765,0.819026487,1.370251578,4.179734664,4.487164885,272.5497525,117.8267978,16.41364878,13.63770462,117.8267978,0.368440534,3.209062795,0,0,3.058
,,21,11.07659082,5.810710044,0.959664479,0.680094417,0.249447009,21.80301109,0.780903762,46.03878454,15.53591011,4.983058127,0,12.77115788,0.888608111,1.390692811,4.061650006,4.762239767,248.8251299,124.636833,17.21815497,14.36604692,124.636833,0.369383459,3.119569302,0,0,3.2781
,,22,13.52308095,10.74367924,1.169718601,0.671765135,0.238033046,23.19728274,0.979935829,51.97644886,17.05739796,4.870856886,0,11.41792786,0.724019381,1.837227861,4.035631219,5.385938065,248.5550071,139.9967342,17.93109126,14.89523077,139.9967342,0.37126901,3.414426451,0,0,3.5046
,,23,14.04082403,10.47238002,1.194450474,0.818803021,0.235117797,24.55680523,1.245879557,58.15804177,18.63798909,4.829423144,0,10.21936414,0.591162496,1.709463526,4.692944777,6.036960847,248.2550252,155.8938566,18.61147155,15.39846339,155.8938566,0.373061794,3.682664628,0,0,3.7375
,,24,14.50135158,10.94105254,1.224494862,0.836115332,0.286581057,25.86037271,1.588681422,64.55507635,20.27092746,4.897144985,0,9.160112509,0.484185821,1.858312305,4.816808782,6.7122137,247.9229184,172.2467567,19.25978744,15.87651475,172.2467567,0.374782536,3.842333386,0,0,3.9768
,,25,14.90609888,10.94871509,1.250361617,0.857146404,0.292640366,27.08827472,2.016212294,71.13966366,21.94962815,5.021760983,0,8.226586175,0.398349651,1.858568151,5.099536673,7.408653333,247.5566615,188.9766382,19.87670188,16.33023116,188.9766382,0.376446869,3.925552796,0,0,4.2225
,,26,15.25727596,11.15446268,1.272635901,0.875253132,0.300001241,28.22376315,2.533027677,77.88489619,23.66776484,5.146567625,0,7.406755912,0.329815037,1.923230912,5.23562983,8.123333594,247.1544863,206.0083786,20.46301248,16.7605128,206.0083786,0.378066643,4.000666736,0,0,4.4746
,,27,15.55772746,11.20305916,1.291457497,0.89084513,0.306338596,29.25435063,3.139386167,84.76516308,25.41934165,5.269846151,0,6.689961454,0.275472265,1.946317809,5.397948686,8.853442917,246.714891,223.2713477,21.01962035,17.16829524,223.2713477,0.379650878,4.064715438,0,0,4.7331
,,28,15.81080422,11.26372053,1.307036519,0.904020248,0.311795796,30.17267597,3.830769648,91.75640323,27.19875064,5.388237415,0,6.066742755,0.232801605,1.981433548,5.510492083,9.59633414,246.2366414,240.7000362,21.54750381,17.55453421,240.7000362,0.381206437,4.118451338,0,0,4.998
,,28,0,0,0,0,0,0,0,0,0,7.911089977,34.00344562,21.26965336,27.43155225,0,7.49192563,0,0,0,0,0,0,0.381206437,0,-1,86.14982676,4.998
,,0,0,0,0.0079636,0,0,0,0,0.0040281,0,7.911089977,34.00344562,21.26965336,27.43155225,0.0020372,7.49192563,0.0013427,1852,0,0.2,0,0,0,0.013629718,-1,0,4.998
A1810,25.35068493,AGE,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,SPH,BA,HT,GCL,VOL,DENS,LAI,PRNHT,EXT,CSHRUB
