LowUC,25.4,AGE,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,SPH,BA,HT,GCL,VOL,DENS,LAI,PRNHT,EXT,CSHRUB
,,5,1.444992485,1.060269445,0.337192649,0.178985476,0.039163305,0.608458319,1.52E-08,0.780837238,0.277448169,0.254722374,0,2.63E-04,2.22E-05,0.22640341,0.352043708,0.120941013,998.8987521,2.264817989,3.45025616,2.977647694,2.264817989,0.344768207,0.938363103,0,0,0.5245
,,6,3.972073463,3.493331872,0.862629201,0.236034854,0.062644917,1.302347205,3.66E-07,1.852836001,0.630658599,0.455583515,0,0.000604276,5.08E-05,0.725177075,0.508586095,0.255646054,998.4401612,5.313049558,4.382256575,3.682924775,5.313049558,0.348733055,1.924196962,0,0,0.6486
,,6,0,0,0.540505383,0.147894494,0.039251992,0.816023471,2.29E-07,1.160948216,0.395157464,0.889240618,0.486323871,0.787955654,2.36E-01,0.45438076,0.779382409,0.160182461,550,3.329045528,4.382256575,3.682924775,3.329045528,0.348733055,1.205661498,-1,0,0.6486
,,7,3.772310847,2.893044721,0.724053307,0.378353768,0.051763073,1.464395424,1.27E-06,2.274349226,0.747555061,0.991974982,0.426630132,0.702989425,1.91E-01,0.552062486,1.055674697,0.287470618,549.7473514,6.481308705,5.392078429,4.692746629,6.481308705,0.350908949,1.921569744,0,0,0.7791
,,8,5.411940298,4.216896279,0.92620716,0.506837315,0.132423819,2.375123809,8.74E-06,4.003743069,1.275659574,1.289577925,0.374263491,0.627629339,0.155254089,0.81936778,1.334817584,0.472419659,549.4936331,11.34983494,6.363131339,5.460180594,11.34983494,0.352757823,2.589998242,0,0,0.916
,,9,7.097020717,5.32960981,1.083650286,0.648345012,0.17739306,3.538137699,7.49E-05,6.428076028,1.993275266,1.746807965,0.328324584,0.561037565,0.12613068,1.001673684,1.86976411,0.721493718,549.2353977,18.11909128,7.328899856,6.191160887,18.11909128,0.354768124,3.141540518,0,0,1.0593
,,9,0,0,0.584660075,0.349800529,0.095708589,1.908925672,4.04E-05,3.468129394,1.075428559,2.626027131,1.957571106,3.853211587,1.043977387,0.540431372,2.331006422,0.389266331,250,9.77576382,7.328899856,6.191160887,9.77576382,0.354768124,1.694950241,-1,0,1.0593
,,10,4.443500199,3.266610863,0.609871415,0.409262052,0.122430185,2.615259373,5.41363E-05,5.071639864,1.53740078,2.54923591,1.717289381,3.435383259,0.847248424,0.600862153,1.92953014,0.550750946,250,14.22033954,8.515930441,7.378191472,14.22033954,0.356646889,1.908814815,0,0,1.209
,,11,5.366497022,4.06553565,0.675432621,0.42690999,0.143241718,3.441139562,7.69552E-05,7.094089772,2.107072225,2.562201874,1.506500994,3.062862725,0.687591418,0.739846585,1.827467696,0.753015445,250,19.79750871,9.472307102,8.334568133,19.79750871,0.358332449,2.078630279,0,0,1.3651
,,12,6.255478405,4.732626142,0.728863993,0.472802834,0.149418497,4.373189307,0.000162604,9.534003495,2.781483274,2.624278516,1.321585792,2.730736969,0.558020463,0.832309181,1.986954372,0.997159464,250,26.48432162,10.40147951,9.174304195,26.48432162,0.359986698,2.249940129,0,0,1.5276
,,13,7.114153054,5.440134347,0.77761461,0.510204795,0.165480992,5.400890975,0.000413659,12.38533536,3.557342779,2.724792935,1.159367973,2.43462573,0.45286609,0.94223182,2.20220187,1.283711263,250,34.24940229,11.29963788,9.875128282,34.24940229,0.361621942,2.415913366,0,0,1.6965
,,14,7.923719679,6.06849908,0.821723104,0.544330227,0.178571678,6.51308364,0.001045593,15.63040656,4.428928525,2.858287212,1.017061553,2.170623722,0.367527195,1.034414248,2.470404628,1.611782478,250,43.02976944,12.16412503,10.54384171,43.02976944,0.363246347,2.563639485,0,0,1.8718
,,15,8.670572881,6.665023621,0.861312776,0.575206173,0.190515579,7.698453245,0.002461977,19.24297829,5.388816714,3.011042455,0.892222509,1.935249137,0.298269714,1.124076551,2.737415594,1.979343615,250,52.74002866,12.99320293,11.18021031,52.74002866,0.364864767,2.696578304,0,0,2.0535
,,16,9.34585155,7.194981115,0.896369842,0.602918943,0.20132216,8.945746046,0.00534979,23.19107506,6.428511387,3.174224682,0.782706812,1.72539772,0.242063237,1.202022517,3.000074311,2.383530858,250,63.28061243,13.78586611,11.78441382,63.28061243,0.36647994,2.814986924,0,0,2.2416
,,17,9.946318648,7.667943523,0.927018581,0.627458889,0.21102163,10.24402136,0.010788299,27.44004945,7.539134198,3.340996548,0.686633601,1.538301832,0.196448408,1.272261524,3.243069445,2.821002781,250,74.54666262,14.54169136,12.35694572,74.54666262,0.368092259,2.919202652,0,0,2.4361
,,18,10.46726177,8.072090505,0.952949458,0.648913007,0.219610611,11.58198266,0.020355754,31.95247115,8.711296041,3.506079748,0.602352879,1.371493946,0.159429319,1.331885927,3.46506562,3.287976422,250,86.4271769,15.26071594,12.89853463,86.4271769,0.369703979,3.008963964,0,0,2.637
,,19,10.91097429,8.413361863,0.974389698,0.66706462,0.227119552,12.94849052,0.036221636,36.69148286,9.935897196,3.665312571,0.528417179,1.222774103,0.129386174,1.382748167,3.661060388,3.780615474,250,98.81486054,15.94333855,13.41008248,98.81486054,0.371315434,3.084408202,0,0,2.8443
,,20,11.24134151,8.650430678,0.987888465,0.682072789,0.233472617,14.3275252,0.061106048,41.60428456,11.19981801,3.815402767,0.463556705,1.090180902,0.105004412,1.417107557,3.831431237,4.293342518,250,111.5562152,16.59023862,13.89261548,111.5562152,0.372944569,3.140321259,0,0,3.058
,,21,11.70759777,9.052236471,1.016285407,0.691521926,0.238725476,15.73269813,0.099085791,46.74467897,12.51776227,3.9527716,0.406657517,0.974860389,0.085479227,1.485519255,3.964748329,4.831675218,249.9726446,124.8199588,17.202385,14.34746441,124.8199588,0.374496831,3.208727304,0,0,3.2781
,,22,12.07975819,9.269630163,1.036921849,0.711399785,0.242032674,17.14786947,0.154803033,52.04313922,13.87631371,4.079961738,0.356742411,0.903452891,0.072475583,1.519512177,4.131358081,5.388230872,249.6830559,138.4192133,17.78150296,14.77775404,138.4192133,0.375982047,3.278371916,0,0,3.5046
,,23,12.42560612,9.52511487,1.056955942,0.725845295,0.248989925,18.56399293,0.233864337,57.50716053,15.27443216,4.201707826,0.312954126,0.847628739,0.06263091,1.565994541,4.262320145,5.963681634,249.362691,152.3658767,18.32816074,15.1828984,152.3658767,0.377428082,3.344381001,0,0,3.7375
