Plot,Index age,Age,Stocking b4 thin,Stocking aft thin,MTH,Crown Lth,Volume b4 thin,Volume aft thin,BA b4 thin,BA aft thin,DBH b4 thin,DBH aft thin,Mean Height
,,28,247.2316391,,21.28195248,,225.1620471,,30.55335742,,39.66355601,,20.62012246
HighT1,26.5,0,1000,,0.25,,0.0064,,0,,0,,0.232982488
,,1,1000,,0.872440517,,0.056626627,,0,,0,,0.813053449
,,2,999.8622779,,1.9992617,,0.332727757,,0.012347279,,0.396487717,,1.863173982
,,3,999.4033411,,3.381398561,,0.981166286,,0.390606465,,2.230557981,,3.151242154
,,4,998.9445933,,4.912269621,,4.268591363,,1.620930257,,4.54491396,,4.5779312
,,5,998.4848414,,6.526785336,,11.69423379,,3.910126901,,7.060555806,,6.082583128
,,6,998.0098811,,8.181018716,,24.92831401,,7.27100148,,9.630390504,,7.624262254
,,7,997.4507714,,9.843964612,,45.14333831,,11.57678636,,12.15521027,,9.174079697
,,8,996.6205952,,11.49327826,,72.60614779,,16.56669731,,14.54679242,,10.71123138
,,9,995.1853097,,13.11274869,,106.602937,,21.90604408,,16.73956631,,12.22065412
,,10,992.7109559,270,14.69066411,,145.680646,52.49065147,27.26334055,9.823339927,18.69787829,21.52097317,14.18418184
,,11,270,,16.21868972,,68.82431396,,11.84727696,,23.63423723,,15.65952652
,,12,270,,17.691064,,87.7089307,,14.00923387,,25.70037809,,17.08113853
,,13,270,,19.10400523,,108.8439707,,16.25520306,,27.68397952,,18.44536653
,,14,270,,20.45526306,,131.8843935,,18.54008026,,29.5656972,,19.75003776
,,15,270,,21.74377381,,156.4912132,,20.83038647,,31.33870048,,20.9941252
,,16,270,,22.96939203,,182.3435654,,23.10162822,,33.00301486,,22.17748843
,,17,270,,24.13267952,,209.1419299,,25.33572797,,34.56201174,,23.30066988
,,18,270,,25.23473814,,236.6085379,,27.51910676,,36.02047921,,24.3647334
,,19,270,,26.27707679,,264.4876258,,29.64143597,,37.38367042,,25.37113589
,,20,270,,27.26150513,,292.3889381,,31.67784613,,38.64649767,,26.32162461
,,21,270,,28.1900486,,320.8033718,,33.69764675,,39.85952384,,27.21815519
,,22,270,,29.06488042,,349.651023,,35.70253919,,41.02814408,,28.06282588
,,23,270,,29.88826716,,378.8045979,,37.68851917,,42.15381223,,28.85782516
,,24,270,,30.66252553,,408.1472958,,39.65222961,,43.23805264,,29.60538983
,,25,270,,31.3899879,,437.5730803,,41.59089753,,44.28243216,,30.30777187
,,26,270,,32.07297532,,466.9867892,,43.5022844,,45.28854325,,30.96721229
,,27,269.4171787,,32.71377629,,495.7595312,,45.334847,,46.28258816,,31.58862628
,,28,268.1987406,,33.31463051,,523.7077573,,47.07994712,,47.27198269,,32.17459573
LowShort,25.4,0,310,,0.25,,0.001984,,0,,0,,0.240070816
