,,,Stocking,,MTH,,Volume,,BA,,DBH,,Mean,,,,,,,,,
Plot,Index age,Age,b4 thin,aft thin,,Crown Lth,b4 thin,aft thin,b4 thin,aft thin,b4 thin,aft thin,Height,,,,,,,,,
,,yrs,sph,sph,m,m,m3/ha,m3/ha,m2/ha,m2/ha,cm,,m,,,,,,,,,
,,8,792.1,,9.3,,42.3,,11.3,,13.5,,8.7,,,,,,,,,
,,9,712.3,,10.8,,59.6,,14.3,,16.0,,10.1,,,,,,,,,
,,10,671.6,,12.2,,81.6,,17.7,,18.3,,11.5,,,,,,,,,
,,11,670.8,,13.7,,110.8,,22.0,,20.4,,12.8,,,,,,,,,
,,12,669.5,,15.1,,143.4,,26.2,,22.3,,14.2,,,,,,,,,
,,13,667.8,,16.5,,178.7,,30.2,,24.0,,15.5,,,,,,,,,
,,14,665.5,,17.9,,215.7,,34.1,,25.5,,16.8,,,,,,,,,
,,15,662.6,,19.3,,254.0,,37.7,,26.9,,18.1,,,,,,,,,
,,16,659.0,,20.6,,293.1,,41.0,,28.1,,19.3,,,,,,,,,
,,17,654.8,,21.8,,332.7,,44.2,,29.3,,20.5,,,,,,,,,
,,18,649.9,,23.0,,372.5,,47.1,,30.4,,21.6,,,,,,,,,
,,19,644.3,,24.2,,412.3,,49.8,,31.4,,22.7,,,,,,,,,
,,20,638.2,,25.3,,451.5,,52.4,,32.3,,23.7,,,,,,,,,
,,21,631.5,,26.4,,490.8,,54.8,,33.2,,24.8,,,,,,,,,
,,22,624.2,,27.4,,530.1,,57.1,,34.1,,25.7,,,,,,,,,
,,23,616.5,,28.4,,569.3,,59.4,,35.0,,26.7,,,,,,,,,
,,24,608.3,,29.4,,608.2,,61.5,,35.9,,27.6,,,,,,,,,
,,25,599.7,,30.3,,646.6,,63.6,,36.7,,28.4,,,,,,,,,
,,26,590.8,,31.1,,684.4,,65.6,,37.6,,29.2,,,,,,,,,
,,27,581.5,,31.9,,721.4,,67.5,,38.4,,30.0,,,,,,,,,
,,28,572.0,,32.7,,757.7,,69.3,,39.3,,30.8,,,,,,,,,
A1835,21.90410959,0,1852.0,,0.3,,0.0,,0.0,,0.0,,0.2,,,,,,,,,
,,1,1683.8,,0.6,,0.1,,0.0,,0.0,,0.6,,,,,,,,,
,,2,1530.8,,1.4,,0.5,,0.0,,0.0,,1.3,,,,,,,,,
,,3,1391.8,,2.4,,1.2,,0.1,,1.1,,2.2,,,,,,,,,
,,4,1265.3,,3.5,,2.5,,1.0,,3.1,,3.3,,,,,,,,,
,,5,1150.4,,4.8,,7.2,,2.8,,5.5,,4.5,,,,,,,,,
,,6,1045.9,,6.2,,15.5,,5.4,,8.1,,5.7,,,,,,,,,
,,7,950.9,,7.6,,27.7,,8.5,,10.7,,7.1,,,,,,,,,
,,8,864.5,,9.0,,43.5,,11.9,,13.2,,8.4,,,,,,,,,
,,9,786.0,,10.4,,62.2,,15.3,,15.7,,9.8,,,,,,,,,
,,10,714.6,,11.9,,82.7,,18.4,,18.1,,11.1,,,,,,,,,
,,11,649.7,,13.3,,104.1,,21.1,,20.3,,12.5,,,,,,,,,
,,12,590.7,,14.7,,125.4,,23.4,,22.5,,13.9,,,,,,,,,
,,13,537.0,,16.1,,146.2,,25.3,,24.5,,15.2,,,,,,,,,
,,14,488.2,,17.5,,166.0,,26.8,,26.4,,16.5,,,,,,,,,
,,15,443.9,,18.8,,184.7,,28.0,,28.3,,17.8,,,,,,,,,
,,16,403.6,,20.1,,202.3,,28.9,,30.2,,19.1,,,,,,,,,
,,17,366.9,,21.3,,218.6,,29.6,,32.1,,20.3,,,,,,,,,
,,18,333.6,,22.5,,233.9,,30.2,,34.0,,21.5,,,,,,,,,
